,acres_burned
1950,537538.7227099999
1951,305721.20676000003
1952,132370.4707
1953,333854.81593999994
1954,218733.9907800001
1955,384397.83092
1956,177503.61739
1957,201923.75249999997
1958,251139.7454099999
1959,297925.8003
1960,344464.71568
1961,361937.4541699999
1962,131579.00011999998
1963,31290.72555999999
1964,295704.34935999993
1965,82189.17833000001
1966,265087.54594999994
1967,236012.84845000005
1968,220761.62097999995
1969,95483.60485000005
1970,673221.6574399996
1971,58402.46098999999
1972,90472.99603000001
1973,255412.85161000004
1974,134877.73488000006
1975,220463.18051999997
1976,197372.92275000003
1977,463002.18359
1978,124483.26878000001
1979,375253.55653000023
1980,377139.3229399999
1981,310695.39380000014
1982,140755.04809999996
1983,84049.91063
1984,204633.82030999995
1985,565636.0855500002
1986,105953.26457000003
1987,860058.3167799993
1988,318561.6812800002
1989,132665.77861999997
1990,369451.96738999995
1991,38769.152140000006
1992,221666.80388
1993,322349.13652999996
1994,374658.3129100004
1995,195536.34329999998
1996,668158.9651999997
1997,214827.48891999997
1998,162761.71789000003
1999,797821.0169499998
2000,246623.8382799999
2001,243461.07883000007
2002,458408.5774500003
2003,965263.4237500002
2004,269423.7218199999
2005,250053.66765999995
2006,739927.1404099998
2007,1033393.38647
2008,1375213.3037999999
2009,430909.1373400001
2010,97319.10034000002
2011,196853.54566000003
2012,841911.24167
2013,564817.7460899998
2014,373381.4078899999
2015,784716.4082099999
2016,540292.1180100001
2017,1415351.6320600002
2018,1584802.4795
2019,275322.93007999996
2020,4149345.0
