Incident Number,Incident Name,Incident Type,Latitude,Longitude,Size,Unit of Measure,Costs,Structures Destroyed,Fire Name,start_date,year,county,cost_per_acre,structures_per_acre
CA-LNU-0005333,BUTTS,WF,39,123,3200.0,Acres,6500000.0,5,BUTTS,2014-07-01,2014,Lake,2031.25,0.0015625
CA-AEU-018237,SAND,WF,39,121,4240.0,Acres,875500.0,67,SAND,2014-07-25,2014,Placer,206.48584905660377,0.01580188679245283
CA-NEU-021465,DOG BAR,WF,39,121,247.0,Acres,1200000.0,5,DOG BAR,2014-09-13,2014,Placer,4858.299595141701,0.020242914979757085
CA-NOD-002798,COLEMAN,WF,42,120,15246.0,Acres,6100000.0,0,COLEMAN,2014-07-01,2014,Modoc,400.104945559491,0.0
CA-ENF-023461,KING,WF,39,121,97717.0,Acres,119000000.0,80,KING,2014-09-13,2014,Placer,1217.8024294646787,0.0008186907088838176
CA-SHU-007763,Oregon,WF,41,123,580.0,Acres,2264876.0,1,OREGON,2014-08-24,2014,Siskiyou,3904.958620689655,0.0017241379310344827
CA-MDF-000357,GULCH,WF,41,121,1469.0,Acres,2050000.0,0,GULCH,2014-07-03,2014,Shasta,1395.507147719537,0.0
CA-AEU-023335,KING,WF,39,121,11570.0,Acres,2900000.0,0,KING,2014-09-13,2014,Placer,250.64822817631807,0.0
CA-KNF-005511,WHITES,WF,41,123,3294.0,Acres,500000.0,0,WHITES,2014-07-31,2014,Siskiyou,151.79113539769278,0.0
CA-KNF-006014,Faulkstein,WF,42,122,300.0,Acres,20000.0,0,FAULKSTEIN,2014-08-11,2014,Siskiyou,66.66666666666667,0.0
CA-MDF-000344,MODOC JULY COMPLEX,WF,42,121,2566.0,Acres,5250000.0,0,MODOC JULY COMPLEX,2014-07-01,2014,Klamath,2045.9859703819175,0.0
CA-HIA-14-211,BALD HILL 3,WF,41,124,210.0,Acres,1900000.0,0,BALD HILL 3,2014-09-13,2014,Humboldt,9047.619047619048,0.0
CA-LMU-003472,DAY,WF,41,121,13153.0,Acres,15900000.0,10,DAY,2014-07-30,2014,Shasta,1208.849692085456,0.0007602828252109785
CA-SKU-007064,BOLES,WF,41,122,516.0,Acres,7009478.0,239,BOLES,2014-09-15,2014,Shasta,13584.25968992248,0.4631782945736434
CA-LNU-006737,Thirty One 2,WF,39,122,369.0,Acres,100000.0,0,THIRTY ONE 2,2014-08-09,2014,Colusa,271.00271002710025,0.0
CA-MDF-000332,Dobie,WF,42,121,250.0,Acres,100000.0,0,DOBIE,2014-07-02,2014,Klamath,400.0,0.0
CA-MDF-000347,Dalton,WF,42,121,400.0,Acres,100000.0,0,DALTON,2014-07-02,2014,Klamath,250.0,0.0
CA-KNF-006000,Man,WF,42,123,180.0,Acres,50000.0,0,MAN,2014-08-12,2014,Siskiyou,277.77777777777777,0.0
CA-BTU-010700,WEB,WF,40,122,389.0,Acres,2155796.0,0,WEB,2014-07-28,2014,Tehama,5541.892030848329,0.0
CA-KNF-005514,LOG,WF,42,123,3632.0,Acres,49873117.0,0,LOG,2014-07-30,2014,Siskiyou,13731.585077092512,0.0
CA-LNF-003479,Bald,WF,41,121,39736.0,Acres,10750000.0,0,BALD,2014-07-30,2014,Shasta,270.535534527884,0.0
CA-LNU-005333,BUTTS,WF,39,122,4300.0,Acres,7200000.0,9,BUTTS,2014-07-01,2014,Colusa,1674.4186046511627,0.0020930232558139536
CA-LNU-005465,Monticello,WF,39,122,6488.0,Acres,9456404.0,0,MONTICELLO,2014-07-04,2014,Colusa,1457.5221948212084,0.0
CA-NOD-003320,MALT,WF,42,120,1054.0,Acres,481000.0,0,MALT,2014-07-23,2014,Modoc,456.35673624288427,0.0
CA-NEU-023454,APPLEGATE,WF,39,121,459.0,Acres,7680985.0,10,APPLEGATE,2014-10-08,2014,Placer,16734.172113289762,0.02178649237472767
CA-KNF-005497,KNF Beaver,WF,42,123,32496.0,Acres,27128721.0,6,KNF BEAVER,2014-07-30,2014,Siskiyou,834.8326255539143,0.00018463810930576072
CA-KNF-006010,KEMPER,WF,42,123,152.0,Acres,80000.0,0,KEMPER,2014-08-11,2014,Siskiyou,526.3157894736842,0.0
CA-SWR-001266,TRACT 17,WF,39,122,395.0,Acres,12000.0,0,TRACT 17,2014-09-17,2014,Colusa,30.379746835443036,0.0
CA-SHF-002423,COFFEE COMPLEX,WF,41,123,6178.0,Acres,5400000.0,0,COFFEE COMPLEX,2014-08-02,2014,Siskiyou,874.0692780835221,0.0
CA-LNF-003502,EILER,WF,41,122,32416.0,Acres,26334929.0,21,EILER,2014-07-31,2014,Shasta,812.4052628331688,0.0006478282329713722
CA-MEU-007202,LODGE COMPLEX,WF,40,124,12536.0,Acres,41500000.0,0,LODGE COMPLEX,2014-07-30,2014,Humboldt,3310.465858328015,0.0
CA-MEU-008882,BLACK,WF,39,123,403.0,Acres,1159000.0,11,BLACK,2014-09-13,2014,Lake,2875.9305210918114,0.02729528535980149
CA-KNF-005575,LITTLE DEER,WF,42,122,5503.0,Acres,4375000.0,1,LITTLE DEER,2014-07-31,2014,Siskiyou,795.0208976921679,0.00018171906232963838
CA-KNF-005991,Delta,WF,42,123,150.0,Acres,45000.0,0,DELTA,2014-08-11,2014,Siskiyou,300.0,0.0
CA-KNF-005956,Happy Camp Complex,WF,42,123,134056.0,Acres,88214725.0,6,HAPPY CAMP COMPLEX,2014-08-14,2014,Siskiyou,658.0438398878081,4.4757414811720473e-05
CA-SHU-006248,BULLY,WF,40,123,12661.0,Acres,23865759.0,20,BULLY,2014-07-11,2014,Trinity,1884.98214990917,0.0015796540557617882
CA-SHU-008322,GULCH,WF,41,122,1375.0,Acres,5522123.0,4,GULCH,2014-09-10,2014,Shasta,4016.0894545454544,0.002909090909090909
CA-KNF-006008,Frying Pan,WF,42,123,1066.0,Acres,125000.0,0,FRYING PAN,2014-08-11,2014,Siskiyou,117.26078799249531,0.0
CA-KNF-005564,JULY COMPLEX,WF,41,123,50042.0,Acres,50440981.0,2,JULY COMPLEX,2014-08-03,2014,Siskiyou,1007.9729227448943,3.996642820031174e-05
CA-SHF-002410,Coffee,WF,41,123,4665.0,Acres,1500000.0,0,COFFEE,2014-07-30,2014,Siskiyou,321.54340836012864,0.0
CA-MCP-001352,Pulgas,WF,34,117,6500.0,Acres,100000.0,0,PULGAS,2014-05-15,2014,San Bernardino,15.384615384615385,0.0
