City,County,FY1998-99,FY1999-00,FY2000-01,FY2001-02,FY2002-03,FY2003-04,FY2004-05,FY2005-06,FY2006-07,FY2007-08,FY2008-09,FY2009-10,FY2010-11,FY2011-12,FY2012-13,FY2013-14,FY2014-15,FY2015-16,FY2016-17,FY2017-18,FY2018-19
Alameda County unincorporated,ALAMEDA,106.68 ,112.20 ,118.74 ,112.10 ,104.17 ,91.20 ,87.09 ,93.59 ,93.77 ,94.74 ,85.03 ,76.45 ,82.68 ,89.02 ,94.24 ,94.78 ,99.41 ,120.39 ,140.48 ,151.34 ,161.97 
Alameda,Alameda,87.50 ,102.34 ,85.71 ,76.25 ,72.58 ,74.60 ,64.69 ,61.27 ,58.94 ,62.28 ,66.23 ,58.76 ,62.11 ,65.07 ,71.47 ,76.71 ,85.33 ,92.62 ,122.91 ,129.67 ,142.55 
Albany,Alameda,65.47 ,67.93 ,80.07 ,79.05 ,74.70 ,75.37 ,73.07 ,90.78 ,92.42 ,94.68 ,94.03 ,87.46 ,86.32 ,83.93 ,85.50 ,92.00 ,96.26 ,104.64 ,132.83 ,133.56 ,140.01 
Berkeley,Alameda,117.99 ,128.16 ,145.77 ,136.29 ,130.85 ,127.46 ,104.68 ,100.08 ,102.64 ,102.32 ,98.99 ,90.26 ,93.60 ,96.98 ,102.87 ,103.44 ,107.18 ,124.02 ,147.72 ,143.42 ,151.60 
Dublin,Alameda,293.41 ,347.75 ,410.81 ,384.11 ,370.76 ,358.60 ,290.76 ,266.99 ,237.62 ,226.64 ,192.84 ,182.97 ,214.14 ,235.93 ,245.58 ,246.39 ,246.80 ,275.59 ,341.66 ,322.59 ,367.27 
Emeryville,Alameda,680.52 ,814.81 ,"1,146.67 ","1,083.76 ",982.80 ,944.57 ,705.67 ,681.00 ,632.22 ,594.61 ,491.75 ,461.15 ,527.99 ,538.87 ,520.01 ,552.73 ,558.29 ,586.59 ,712.31 ,728.11 ,751.40 
Fremont,Alameda,124.80 ,143.04 ,163.37 ,141.02 ,121.04 ,120.96 ,105.18 ,108.91 ,114.97 ,120.43 ,104.57 ,91.55 ,102.52 ,105.90 ,114.16 ,119.30 ,128.02 ,152.45 ,201.46 ,235.98 ,282.52 
Hayward,Alameda,208.61 ,229.70 ,240.81 ,212.52 ,177.80 ,184.81 ,146.41 ,146.46 ,146.92 ,142.50 ,126.41 ,116.21 ,125.30 ,134.28 ,140.02 ,146.31 ,141.82 ,163.54 ,210.22 ,197.82 ,214.61 
Livermore,Alameda,156.52 ,190.49 ,219.58 ,212.64 ,211.95 ,224.91 ,186.72 ,180.81 ,184.05 ,170.91 ,143.17 ,129.43 ,146.61 ,184.85 ,197.84 ,231.86 ,221.77 ,260.66 ,329.31 ,365.64 ,379.95 
Newark,Alameda,229.90 ,255.88 ,277.46 ,238.18 ,246.64 ,277.01 ,216.07 ,191.79 ,174.07 ,170.90 ,142.55 ,130.34 ,142.71 ,151.86 ,157.38 ,163.29 ,173.91 ,207.29 ,253.28 ,256.69 ,269.93 
Oakland,Alameda,81.98 ,87.38 ,94.79 ,85.26 ,86.85 ,91.52 ,82.12 ,86.15 ,87.14 ,90.34 ,69.56 ,58.66 ,70.87 ,81.89 ,82.51 ,84.99 ,85.96 ,95.33 ,117.27 ,125.34 ,131.74 
Piedmont,Alameda,13.82 ,14.59 ,16.74 ,15.52 ,15.29 ,14.55 ,13.55 ,12.08 ,13.25 ,12.08 ,11.02 ,8.09 ,9.51 ,12.39 ,10.05 ,15.89 ,15.20 ,14.16 ,15.08 ,15.44 ,17.04 
Pleasanton,Alameda,299.91 ,273.00 ,316.96 ,271.35 ,248.80 ,293.94 ,225.26 ,240.74 ,235.09 ,226.74 ,188.59 ,169.04 ,199.95 ,194.73 ,198.75 ,216.44 ,219.40 ,241.07 ,301.10 ,282.82 ,276.75 
San Leandro,Alameda,220.13 ,262.97 ,274.49 ,264.22 ,250.85 ,250.55 ,209.67 ,211.35 ,214.78 ,197.01 ,172.98 ,164.80 ,167.07 ,179.65 ,190.34 ,207.56 ,231.09 ,277.31 ,344.75 ,349.55 ,357.73 
Union City,Alameda,94.70 ,99.92 ,109.96 ,100.50 ,105.48 ,97.48 ,86.02 ,83.50 ,86.29 ,90.95 ,83.28 ,73.31 ,88.54 ,83.21 ,91.15 ,92.01 ,95.44 ,97.16 ,132.21 ,148.15 ,142.66 
Alpine County UNINCORPORATED,ALPINE,291.75 ,170.81 ,208.51 ,181.00 ,217.38 ,147.88 ,126.02 ,150.84 ,192.69 ,150.69 ,107.60 ,162.53 ,145.18 ,184.61 ,191.35 ,168.49 ,218.18 ,338.28 ,466.34 ,345.33 ,242.75 
Amador County unincorporated,AMADOR,77.81 ,88.26 ,99.64 ,93.95 ,102.20 ,106.21 ,86.00 ,86.80 ,100.50 ,121.53 ,92.98 ,87.93 ,86.33 ,96.66 ,91.70 ,97.05 ,101.50 ,109.58 ,135.60 ,139.10 ,145.57 
Amador,Amador,54.25 ,49.91 ,84.41 ,59.34 ,67.22 ,67.26 ,51.47 ,48.77 ,47.25 ,41.40 ,42.32 ,31.21 ,32.82 ,38.05 ,42.53 ,42.74 ,49.13 ,51.80 ,58.78 ,51.75 ,64.35 
Ione,Amador,17.45 ,17.74 ,15.70 ,14.79 ,16.28 ,17.09 ,15.73 ,14.27 ,13.87 ,16.25 ,34.46 ,15.91 ,15.97 ,8.89 ,8.98 ,14.86 ,16.83 ,32.37 ,23.04 ,21.90 ,22.96 
Jackson,Amador,236.29 ,264.88 ,264.57 ,274.36 ,283.03 ,299.49 ,231.86 ,225.81 ,228.49 ,119.60 ,126.61 ,97.00 ,105.03 ,109.91 ,116.33 ,115.97 ,125.95 ,153.51 ,188.13 ,201.55 ,204.20 
Plymouth,Amador,106.26 ,116.84 ,107.45 ,111.43 ,105.89 ,124.06 ,101.65 ,111.49 ,106.87 ,108.66 ,95.59 ,84.33 ,115.07 ,103.88 ,113.29 ,118.45 ,132.55 ,151.50 ,203.81 ,207.39 ,205.13 
Sutter Creek,Amador,145.87 ,153.11 ,146.44 ,139.91 ,148.70 ,156.14 ,114.36 ,104.93 ,90.98 ,71.20 ,48.31 ,48.56 ,58.98 ,68.62 ,64.24 ,73.89 ,82.66 ,121.69 ,134.98 ,157.20 ,160.04 
Butte County unincorporated,BUTTE,32.72 ,40.84 ,41.57 ,35.99 ,37.74 ,41.07 ,36.74 ,38.68 ,40.57 ,34.41 ,34.04 ,31.38 ,33.99 ,33.59 ,35.67 ,39.38 ,41.34 ,49.93 ,61.63 ,65.45 ,69.87 
Biggs,Butte,10.62 ,12.57 ,11.41 ,8.20 ,9.27 ,11.44 ,8.03 ,5.04 ,3.27 ,3.95 ,16.34 ,8.80 ,10.48 ,8.70 ,11.58 ,12.84 ,9.95 ,8.48 ,11.90 ,11.10 ,12.61 
Chico,Butte,189.60 ,199.94 ,186.18 ,200.08 ,203.08 ,207.13 ,169.89 ,164.41 ,151.99 ,149.11 ,136.11 ,123.43 ,133.69 ,139.65 ,145.11 ,152.51 ,159.79 ,178.92 ,225.39 ,241.37 ,214.69 
Gridley,Butte,135.15 ,144.05 ,144.68 ,136.88 ,146.92 ,146.97 ,126.83 ,130.01 ,128.10 ,117.33 ,111.31 ,101.20 ,105.00 ,106.16 ,101.35 ,108.84 ,108.51 ,121.54 ,147.09 ,155.11 ,161.46 
Oroville,Butte,189.53 ,197.92 ,208.04 ,211.74 ,208.51 ,218.05 ,185.84 ,203.02 ,191.14 ,189.46 ,174.88 ,159.06 ,156.18 ,177.14 ,172.56 ,182.06 ,181.45 ,180.01 ,233.50 ,237.91 ,220.69 
Paradise,Butte,48.25 ,53.52 ,52.39 ,51.95 ,57.91 ,57.02 ,48.83 ,49.32 ,49.12 ,49.95 ,46.43 ,43.98 ,46.40 ,47.52 ,49.39 ,50.06 ,52.08 ,56.21 ,69.26 ,70.39 ,292.69 
Calaveras County unincorporated,CALAVERAS,45.26 ,47.42 ,47.59 ,49.48 ,51.74 ,55.06 ,46.10 ,49.40 ,50.43 ,47.97 ,39.92 ,36.11 ,38.48 ,41.76 ,42.93 ,43.83 ,47.55 ,55.02 ,75.34 ,78.49 ,81.62 
Angels Camp,Calaveras,151.54 ,169.40 ,175.97 ,179.32 ,187.81 ,207.86 ,158.18 ,168.95 ,161.55 ,165.71 ,137.95 ,125.52 ,122.54 ,126.76 ,138.78 ,139.58 ,139.07 ,152.88 ,197.57 ,201.75 ,226.68 
Colusa County unincorporated,COLUSA,65.25 ,80.11 ,82.35 ,67.75 ,69.26 ,74.98 ,74.79 ,71.39 ,84.89 ,86.16 ,169.09 ,226.68 ,91.96 ,137.56 ,141.88 ,130.87 ,138.27 ,156.08 ,157.39 ,141.95 ,196.34 
Colusa,Colusa,137.99 ,155.86 ,177.59 ,173.08 ,161.54 ,165.57 ,139.20 ,137.10 ,151.50 ,143.74 ,165.93 ,154.47 ,132.62 ,154.86 ,126.35 ,140.05 ,137.93 ,161.06 ,210.20 ,209.42 ,245.92 
Williams,Colusa,125.55 ,164.39 ,134.12 ,120.74 ,120.28 ,116.23 ,93.94 ,91.97 ,90.79 ,89.26 ,95.48 ,85.43 ,72.03 ,89.87 ,90.48 ,87.88 ,101.92 ,101.09 ,149.10 ,161.23 ,169.09 
Contra Costa County unincorporated,CONTRA COSTA,54.05 ,69.88 ,75.26 ,74.46 ,70.48 ,66.31 ,54.79 ,56.58 ,58.83 ,58.72 ,57.00 ,59.94 ,56.50 ,62.06 ,64.56 ,68.05 ,60.74 ,77.77 ,86.76 ,86.79 ,95.50 
Antioch,Contra Costa,70.75 ,81.24 ,88.74 ,87.55 ,88.00 ,90.64 ,81.53 ,82.25 ,84.19 ,83.00 ,71.38 ,64.80 ,67.46 ,70.69 ,75.51 ,73.66 ,79.31 ,85.98 ,109.96 ,116.66 ,128.27 
Brentwood,Contra Costa,75.11 ,77.20 ,82.06 ,70.14 ,70.94 ,76.55 ,72.06 ,74.77 ,69.65 ,71.61 ,68.46 ,71.99 ,77.02 ,81.35 ,83.70 ,86.35 ,89.49 ,101.20 ,129.08 ,137.62 ,140.45 
