DATE,CAHOWN
1984-01-01,53.7
1985-01-01,54.2
1986-01-01,53.8
1987-01-01,54.3
1988-01-01,54.4
1989-01-01,53.6
1990-01-01,53.8
1991-01-01,54.5
1992-01-01,55.3
1993-01-01,56.0
1994-01-01,55.5
1995-01-01,55.4
1996-01-01,55.0
1997-01-01,55.7
1998-01-01,56.0
1999-01-01,55.7
2000-01-01,57.1
2001-01-01,58.2
2002-01-01,57.7
2003-01-01,58.9
2004-01-01,59.7
2005-01-01,59.7
2006-01-01,60.2
2007-01-01,58.3
2008-01-01,57.5
2009-01-01,57.0
2010-01-01,56.1
2011-01-01,55.3
2012-01-01,54.5
2013-01-01,54.3
2014-01-01,54.2
2015-01-01,54.3
2016-01-01,53.8
2017-01-01,54.4
2018-01-01,55.1
2019-01-01,54.8
