DATE,CAICLAIMS
1986-02-01,66360.000000000000
1986-03-01,65569.400000000000
1986-04-01,53950.000000000000
1986-05-01,48693.800000000000
1986-06-01,53307.000000000000
1986-07-01,50433.500000000000
1986-08-01,47773.600000000000
1986-09-01,51701.250000000000
1986-10-01,50604.750000000000
1986-11-01,54117.800000000000
1986-12-01,59086.000000000000
1987-01-01,60998.000000000000
1987-02-01,60980.250000000000
1987-03-01,55017.333333333333
1987-04-01,46812.000000000000
1987-05-01,42823.600000000000
1987-06-01,46864.500000000000
1987-07-01,.
1987-08-01,44289.400000000000
1987-09-01,40761.500000000000
1987-10-01,47204.400000000000
1987-11-01,51705.000000000000
1987-12-01,53316.000000000000
1988-01-01,54118.600000000000
1988-02-01,55143.500000000000
1988-03-01,51345.250000000000
1988-04-01,45782.800000000000
1988-05-01,47631.000000000000
1988-06-01,46203.750000000000
1988-07-01,45357.200000000000
1988-08-01,43864.250000000000
1988-09-01,41602.000000000000
1988-10-01,43899.400000000000
1988-11-01,47497.250000000000
1988-12-01,51368.000000000000
1989-01-01,51451.000000000000
1989-02-01,52096.500000000000
1989-03-01,52402.500000000000
1989-04-01,47009.600000000000
1989-05-01,45298.500000000000
1989-06-01,46763.500000000000
1989-07-01,47016.400000000000
1989-08-01,44914.750000000000
1989-09-01,44388.800000000000
1989-10-01,52741.250000000000
1989-11-01,48957.000000000000
1989-12-01,54736.800000000000
1990-01-01,62118.750000000000
1990-02-01,60718.500000000000
1990-03-01,56352.200000000000
1990-04-01,51499.500000000000
1990-05-01,54081.000000000000
1990-06-01,57002.000000000000
1990-07-01,58279.250000000000
1990-08-01,56172.500000000000
1990-09-01,57076.600000000000
1990-10-01,68663.500000000000
1990-11-01,69188.750000000000
1990-12-01,72387.000000000000
1991-01-01,75551.000000000000
1991-02-01,81112.250000000000
1991-03-01,85176.400000000000
1991-04-01,70625.000000000000
1991-05-01,68612.000000000000
1991-06-01,67809.600000000000
1991-07-01,72015.000000000000
1991-08-01,68754.800000000000
1991-09-01,67551.000000000000
1991-10-01,74898.250000000000
1991-11-01,79176.800000000000
1991-12-01,80800.750000000000
1992-01-01,86826.750000000000
1992-02-01,92627.200000000000
1992-03-01,82741.250000000000
1992-04-01,72522.500000000000
1992-05-01,70345.800000000000
1992-06-01,77193.500000000000
1992-07-01,73351.750000000000
1992-08-01,67064.000000000000
1992-09-01,66265.500000000000
1992-10-01,67591.600000000000
1992-11-01,64722.000000000000
1992-12-01,68880.500000000000
1993-01-01,74794.200000000000
1993-02-01,74019.500000000000
1993-03-01,66437.500000000000
1993-04-01,59808.250000000000
1993-05-01,57573.000000000000
1993-06-01,59150.000000000000
1993-07-01,58249.200000000000
1993-08-01,55412.250000000000
1993-09-01,52206.250000000000
1993-10-01,62140.800000000000
1993-11-01,63191.500000000000
1993-12-01,64727.000000000000
1994-01-01,64237.200000000000
1994-02-01,72509.250000000000
1994-03-01,64202.500000000000
1994-04-01,60079.800000000000
1994-05-01,66741.250000000000
1994-06-01,65828.000000000000
1994-07-01,63260.000000000000
1994-08-01,61335.500000000000
1994-09-01,58281.000000000000
1994-10-01,64532.200000000000
1994-11-01,71395.500000000000
1994-12-01,67904.400000000000
1995-01-01,80012.250000000000
1995-02-01,74964.250000000000
1995-03-01,71751.750000000000
1995-04-01,64462.200000000000
1995-05-01,64740.000000000000
1995-06-01,61248.500000000000
1995-07-01,61723.000000000000
1995-08-01,59034.500000000000
1995-09-01,55626.200000000000
1995-10-01,64873.000000000000
1995-11-01,65271.500000000000
1995-12-01,71857.400000000000
1996-01-01,69226.000000000000
1996-02-01,75893.500000000000
1996-03-01,68505.000000000000
1996-04-01,60578.750000000000
1996-05-01,61140.500000000000
1996-06-01,61894.200000000000
1996-07-01,58618.500000000000
1996-08-01,55834.600000000000
1996-09-01,55784.250000000000
1996-10-01,60399.250000000000
1996-11-01,66314.200000000000
1996-12-01,70028.000000000000
1997-01-01,71373.000000000000
1997-02-01,70197.500000000000
1997-03-01,59287.000000000000
1997-04-01,55583.750000000000
1997-05-01,54088.600000000000
1997-06-01,60707.000000000000
1997-07-01,56839.500000000000
1997-08-01,54863.600000000000
1997-09-01,53376.750000000000
1997-10-01,59370.750000000000
1997-11-01,65906.400000000000
1997-12-01,60125.250000000000
1998-01-01,60215.200000000000
1998-02-01,70084.500000000000
1998-03-01,57630.500000000000
1998-04-01,55300.250000000000
1998-05-01,53467.000000000000
1998-06-01,52403.250000000000
1998-07-01,50752.250000000000
1998-08-01,46396.800000000000
1998-09-01,42997.000000000000
1998-10-01,51007.200000000000
1998-11-01,58590.250000000000
1998-12-01,57819.750000000000
1999-01-01,56541.200000000000
1999-02-01,62003.500000000000
1999-03-01,52284.000000000000
1999-04-01,50028.500000000000
1999-05-01,48001.600000000000
1999-06-01,47463.250000000000
1999-07-01,47248.600000000000
1999-08-01,44068.750000000000
1999-09-01,42251.500000000000
1999-10-01,46590.800000000000
1999-11-01,55830.250000000000
1999-12-01,51806.000000000000
2000-01-01,50206.800000000000
2000-02-01,57541.250000000000
2000-03-01,48760.000000000000
2000-04-01,42144.600000000000
2000-05-01,44484.000000000000
2000-06-01,45871.500000000000
2000-07-01,43948.400000000000
2000-08-01,42749.750000000000
2000-09-01,39945.400000000000
2000-10-01,46283.000000000000
2000-11-01,52436.500000000000
2000-12-01,49414.800000000000
2001-01-01,49900.250000000000
2001-02-01,56825.500000000000
2001-03-01,53043.400000000000
2001-04-01,50827.500000000000
2001-05-01,53355.250000000000
2001-06-01,51213.200000000000
2001-07-01,51292.250000000000
2001-08-01,51077.000000000000
2001-09-01,50522.800000000000
2001-10-01,63020.750000000000
2001-11-01,61675.750000000000
2001-12-01,53502.800000000000
2002-01-01,74521.250000000000
2002-02-01,62527.750000000000
2002-03-01,58460.600000000000
2002-04-01,62427.750000000000
2002-05-01,56114.250000000000
