DATE,CAWTOT
1998-01-01,505751804.0
1998-04-01,509465580.0
1998-07-01,521080448.0
1998-10-01,534072636.0
1999-01-01,546678072.0
1999-04-01,556634296.0
1999-07-01,567642048.0
1999-10-01,591544404.0
2000-01-01,621890108.0
2000-04-01,627598860.0
2000-07-01,655532808.0
2000-10-01,648798876.0
2001-01-01,659699224.0
2001-04-01,649770412.0
2001-07-01,642329380.0
2001-10-01,640402184.0
2002-01-01,640984584.0
2002-04-01,645816464.0
2002-07-01,647075060.0
2002-10-01,650105748.0
2003-01-01,650397044.0
2003-04-01,661953992.0
2003-07-01,672256508.0
2003-10-01,679623440.0
2004-01-01,687694028.0
2004-04-01,700782432.0
2004-07-01,713766584.0
2004-10-01,720669724.0
2005-01-01,725338904.0
2005-04-01,734000436.0
2005-07-01,750498268.0
2005-10-01,760226604.0
2006-01-01,786281748.0
2006-04-01,781834944.0
2006-07-01,791299448.0
2006-10-01,806384972.0
2007-01-01,826182260.0
2007-04-01,832237288.0
2007-07-01,834075380.0
2007-10-01,846134736.0
2008-01-01,843883428.0
2008-04-01,847673352.0
2008-07-01,848464176.0
2008-10-01,832461432.0
2009-01-01,802888952.0
2009-04-01,801238784.0
2009-07-01,794648988.0
2009-10-01,796872848.0
2010-01-01,798130296.0
2010-04-01,810182264.0
2010-07-01,813555576.0
2010-10-01,832909372.0
2011-01-01,846441544.0
2011-04-01,844827832.0
2011-07-01,853651416.0
2011-10-01,845114776.0
2012-01-01,884066928.0
2012-04-01,889682748.0
2012-07-01,895504988.0
2012-10-01,943580528.0
2013-01-01,914548096.0
2013-04-01,929004508.0
2013-07-01,933240052.0
2013-10-01,958787976.0
2014-01-01,972197868.0
2014-04-01,978678696.0
2014-07-01,1000055284.0
2014-10-01,1017148388.0
2015-01-01,1047566216.0
2015-04-01,1066071440.0
2015-07-01,1074701264.0
2015-10-01,1082484284.0
2016-01-01,1096988404.0
2016-04-01,1107651956.0
2016-07-01,1124045640.0
2016-10-01,1139360928.0
2017-01-01,1156662976.0
2017-04-01,1176389544.0
2017-07-01,1199251944.0
2017-10-01,1226603188.0
2018-01-01,1233149516.0
2018-04-01,1250334568.0
2018-07-01,1269303948.0
2018-10-01,1281531324.0
2019-01-01,1315483660.0
2019-04-01,1328851756.0
2019-07-01,1328656668.0
2019-10-01,1359448224.0
2020-01-01,1380041316.0
2020-04-01,1269372444.0
