company,written_premium_(b),market_share,earned_premium_(b),incurred_loss_(b),loss_ratio,year
Acceptance Ind Ins Co - 20010,150,0.00%,157,-196,-124.84%,2019
Ace Amer Ins Co - 22667,"257,039",0.02%,"211,368","-7,113",-3.37%,2019
Admiral Ind Co - 44318,6,0.00%,2, -   ,0.00%,2019
Aegis Security Ins Co - 33898,"585,397",0.05%,"623,686","111,352",17.85%,2019
Affiliated Fm Ins Co - 10014,"35,875,928",3.32%,"34,767,071","16,673,408",47.96%,2019
Allianz Global Risks US Ins Co - 35300,"47,772,344",4.42%,"35,708,966","54,045,259",151.35%,2019
Allied Prop & Cas Ins Co - 42579,"8,818,239",0.82%,"9,125,933","-2,363,116",-25.89%,2019
Allied World Assur Co US Inc - 19489,"443,321",0.04%,"350,534","-125,026",-35.67%,2019
Allstate Ins Co - 19232,"5,925",0.00%,"6,202","-58,384",-941.37%,2019
Amco Ins Co - 19100,"29,493,721",2.73%,"30,620,459","-1,339,190",-4.37%,2019
American Alt Ins Corp - 19720,"133,019",0.01%,"275,371","121,711",44.20%,2019
American Cas Co Of Reading PA - 20427,"104,856",0.01%,"88,563","-62,705",-70.80%,2019
American Economy Ins Co - 19690,"4,917",0.00%,"6,396",-309,-4.83%,2019
American Family Home Ins Co - 23450,"3,082",0.00%,"3,242","5,360",165.33%,2019
American Fire & Cas Co - 24066,"18,165",0.00%,"34,119",-555,-1.63%,2019
American Guar & Liab Ins - 26247,"12,236,685",1.13%,"12,563,325","17,469,935",139.06%,2019
American Home Assur Co - 19380,"21,104,782",1.95%,"29,409,610","6,131,836",20.85%,2019
American Modern Home Ins Co - 23469,"7,697,680",0.71%,"13,325,365","775,131",5.82%,2019
American Modern Prop & Cas Ins Co - 42722,"10,987,675",1.02%,"4,398,294","2,654,076",60.34%,2019
American Natl Prop & Cas Co - 28401,"183,358",0.02%,"102,604","124,856",121.69%,2019
