Incident Number,Incident Name,Incident Type,Latitude,Longitude,Size,Unit of Measure,Costs,Structures Destroyed,start_date,year,county
CA-LNU-0005333,BUTTS,WF,39,123,3200.0,Acres,6500000.0,5,2014-07-01,2014,Lake
CA-AEU-018237,SAND,WF,39,121,4240.0,Acres,875500.0,67,2014-07-25,2014,Placer
CA-NEU-021465,DOG BAR,WF,39,121,247.0,Acres,1200000.0,5,2014-09-13,2014,Placer
CA-NOD-002798,COLEMAN,WF,42,120,15246.0,Acres,6100000.0,0,2014-07-01,2014,Modoc
CA-ENF-023461,KING,WF,39,121,97717.0,Acres,119000000.0,80,2014-09-13,2014,Placer
CA-SHU-007763,Oregon,WF,41,123,580.0,Acres,2264876.0,1,2014-08-24,2014,Siskiyou
CA-SKU-005509,SKU LIGHTNING COMPLEX,WF,42,123,30.0,Acres,1400000.0,0,2014-07-30,2014,Siskiyou
CA-MDF-000357,GULCH,WF,41,121,1469.0,Acres,2050000.0,0,2014-07-03,2014,Shasta
CA-AEU-023335,KING,WF,39,121,11570.0,Acres,2900000.0,0,2014-09-13,2014,Placer
CA-KNF-005511,WHITES,WF,41,123,3294.0,Acres,500000.0,0,2014-07-31,2014,Siskiyou
CA-KNF-006014,Faulkstein,WF,42,122,300.0,Acres,20000.0,0,2014-08-11,2014,Siskiyou
CA-MDF-000344,MODOC JULY COMPLEX,WF,42,121,2566.0,Acres,5250000.0,0,2014-07-01,2014,Klamath
CA-HIA-14-211,BALD HILL 3,WF,41,124,210.0,Acres,1900000.0,0,2014-09-13,2014,Humboldt
CA-LMU-003472,DAY,WF,41,121,13153.0,Acres,15900000.0,10,2014-07-30,2014,Shasta
CA-SKU-007064,BOLES,WF,41,122,516.0,Acres,7009478.0,239,2014-09-15,2014,Shasta
CA-LNU-006737,Thirty One 2,WF,39,122,369.0,Acres,100000.0,0,2014-08-09,2014,Colusa
CA-MDF-000332,Dobie,WF,42,121,250.0,Acres,100000.0,0,2014-07-02,2014,Klamath
CA-MDF-000347,Dalton,WF,42,121,400.0,Acres,100000.0,0,2014-07-02,2014,Klamath
CA-KNF-006000,Man,WF,42,123,180.0,Acres,50000.0,0,2014-08-12,2014,Siskiyou
CA-BTU-010700,WEB,WF,40,122,389.0,Acres,2155796.0,0,2014-07-28,2014,Tehama
