city_county,FY1998-99,FY1999-00,FY2000-01,FY2001-02,FY2002-03,FY2003-04,FY2004-05,FY2005-06,FY2006-07,FY2007-08,FY2008-09,FY2009-10,FY2010-11,FY2011-12,FY2012-13,FY2013-14,FY2014-15,FY2015-16,FY2016-17,FY2017-18,FY2018-19
Alameda County unincorporated,"14,277,864","15,227,324","16,291,835","15,522,476","14,437,243","12,661,881","12,076,329","12,990,147","13,085,629","13,342,317","12,088,205","10,799,430","11,777,787","12,815,268","13,670,465","13,858,110","14,690,142","17,896,336","20,974,075","22,555,772","24,117,851"
Alameda,"6,418,238","7,543,435","6,358,253","5,700,932","5,439,014","5,550,861","4,800,925","4,558,950","4,435,492","4,609,622","4,945,891","4,430,889","4,599,431","4,850,738","5,392,967","5,834,133","6,526,645","7,221,154","9,657,890","10,226,070","11,306,838"
Albany,"1,167,781","1,211,576","1,329,805","1,321,537","1,254,025","1,260,270","1,217,554","1,514,204","1,549,357","1,529,285","1,587,599","1,488,715","1,583,574","1,549,902","1,581,522","1,700,414","1,784,653","1,942,165","2,476,795","2,544,670","2,715,130"
Berkeley,"12,892,362","14,028,422","15,095,117","14,225,098","13,681,625","13,291,175","10,891,810","10,546,474","10,915,577","10,897,146","10,609,130","9,758,473","10,662,923","11,122,684","11,954,128","12,154,216","12,705,685","14,812,181","17,829,582","17,478,991","18,696,420"
Dublin,"8,449,547","11,308,321","13,140,642","12,850,804","13,178,836","13,745,326","11,560,268","11,188,910","10,367,151","10,620,162","9,241,221","8,932,670","9,894,994","11,024,929","12,431,433","13,338,777","13,991,923","16,023,427","20,665,981","20,400,883","23,717,492"
Emeryville,"4,969,848","5,957,098","8,290,451","7,888,714","7,408,342","7,241,062","5,801,341","5,813,692","5,793,064","5,774,873","4,960,252","4,716,197","5,337,935","5,488,965","5,525,649","5,999,368","6,173,009","6,960,481","8,544,137","8,732,930","8,930,389"
Fremont,"25,499,890","29,756,197","33,606,480","29,348,401","25,296,773","25,289,282","22,026,171","22,888,156","24,335,248","25,665,470","22,550,107","19,970,495","22,081,106","23,023,811","25,491,179","27,066,435","29,390,296","35,313,761","47,120,748","55,559,222","65,694,377"
Hayward,"26,740,026","29,771,343","34,290,890","30,597,110","25,730,762","26,730,310","21,276,695","21,441,555","21,722,124","21,223,608","19,072,152","17,792,363","18,180,562","19,728,976","21,351,028","22,625,952","22,324,076","26,078,253","33,941,578","32,052,809","34,215,600"
Livermore,"11,567,706","14,154,212","16,443,267","16,287,409","16,541,455","17,671,453","14,998,294","14,725,377","15,247,217","14,262,656","12,084,578","11,041,953","11,956,007","15,211,762","16,714,665","19,897,627","19,314,075","23,192,365","29,787,221","33,423,660","34,590,565"
Newark,"9,868,050","11,013,889","11,957,578","10,377,622","10,841,741","12,119,952","9,397,935","8,340,112","7,605,521","7,484,294","6,277,024","5,784,662","6,093,677","6,527,551","6,890,313","7,212,488","7,744,236","9,327,537","11,567,019","12,184,175","13,148,678"
