DATE,CAWCON
1998-01-01,21613724.0
1998-04-01,22348000.0
1998-07-01,23931428.0
1998-10-01,25220184.0
1999-01-01,25853472.0
1999-04-01,26274012.0
1999-07-01,26640472.0
1999-10-01,28178764.0
2000-01-01,29170448.0
2000-04-01,30378908.0
2000-07-01,31297712.0
2000-10-01,32413556.0
2001-01-01,33490176.0
2001-04-01,34187836.0
2001-07-01,34473516.0
2001-10-01,33775452.0
2002-01-01,34183100.0
2002-04-01,34202052.0
2002-07-01,34066548.0
2002-10-01,34500932.0
2003-01-01,34637728.0
2003-04-01,34745292.0
2003-07-01,35381500.0
2003-10-01,36384784.0
2004-01-01,37268560.0
2004-04-01,38927952.0
2004-07-01,40083932.0
2004-10-01,40457084.0
2005-01-01,40759012.0
2005-04-01,42601672.0
2005-07-01,44413524.0
2005-10-01,45179988.0
2006-01-01,47112692.0
2006-04-01,46485792.0
2006-07-01,46888872.0
2006-10-01,47696156.0
2007-01-01,48905652.0
2007-04-01,48269672.0
2007-07-01,47388744.0
2007-10-01,47342212.0
2008-01-01,46355000.0
2008-04-01,45488412.0
2008-07-01,43564900.0
2008-10-01,43182480.0
2009-01-01,37921640.0
2009-04-01,36482064.0
2009-07-01,34830616.0
2009-10-01,34082164.0
2010-01-01,32063048.0
2010-04-01,32217960.0
2010-07-01,32188372.0
2010-10-01,32177752.0
2011-01-01,32473480.0
2011-04-01,32495448.0
2011-07-01,33590932.0
2011-10-01,33269900.0
2012-01-01,34692920.0
2012-04-01,35325640.0
2012-07-01,35860028.0
2012-10-01,36969732.0
2013-01-01,37438316.0
2013-04-01,38510892.0
2013-07-01,38902820.0
2013-10-01,39559744.0
2014-01-01,40577456.0
2014-04-01,41066328.0
2014-07-01,42012552.0
2014-10-01,42609228.0
2015-01-01,45707804.0
2015-04-01,46483320.0
2015-07-01,47617684.0
2015-10-01,49470732.0
2016-01-01,50130636.0
2016-04-01,51416128.0
2016-07-01,52494788.0
2016-10-01,53485656.0
2017-01-01,54087812.0
2017-04-01,56157200.0
2017-07-01,58043568.0
2017-10-01,59419252.0
2018-01-01,62023232.0
2018-04-01,61424180.0
2018-07-01,62754536.0
2018-10-01,63914292.0
2019-01-01,65913440.0
2019-04-01,67159732.0
2019-07-01,67666188.0
2019-10-01,68319296.0
2020-01-01,69342124.0
2020-04-01,64727120.0
