Nation ,State ,County ,Place ,Latitude ,Longitude ,Elevation(meters) 
United States of America,California,Alpine,Alpine Village,38.78,-119.82,1696
United States of America,California,Alpine,Bear Valley,38.47,-120.05,2202
United States of America,California,Alpine,Kirkwood,38.69,-120.06,2597
United States of America,California,Alpine,Markleeville,38.69,-119.8,1730
United States of America,California,Alpine,Markleeville,38.62,-119.8,0
United States of America,California,Alpine,Mesa Vista,38.79,-119.81,1707
United States of America,California,Glenn,Artois,39.63,-122.19,55
United States of America,California,Glenn,Elk Creek,39.6,-122.54,239
United States of America,California,Glenn,Hamilton City,39.74,-122.01,46
United States of America,California,Glenn,Orland,39.75,-122.19,78
United States of America,California,Glenn,Orland,39.7,-122.44,0
United States of America,California,Glenn,Willows,39.52,-122.2,41
United States of America,California,Glenn,Willows,39.49,-122.34,0
United States of America,California,Del Norte,Bertsch-Oceanview,41.75,-124.16,10
United States of America,California,Del Norte,Crescent City,41.75,-124.2,11
United States of America,California,Del Norte,Crescent City,41.79,-124.26,0
United States of America,California,Del Norte,Crescent City North,41.76,-124.21,18
United States of America,California,Del Norte,Gasquet,41.84,-123.97,189
United States of America,California,Del Norte,Hiouchi,41.79,-124.07,185
United States of America,California,Del Norte,Klamath,41.53,-124.01,225
United States of America,California,Del Norte,Klamath,41.57,-124.04,0
United States of America,California,Del Norte,Smith River,41.92,-124.15,125
United States of America,California,Del Norte,Smith River-Gasquet,41.74,-123.91,0
United States of America,California,Colusa,Arbuckle,39.02,-122.06,42
United States of America,California,Colusa,Central Colusa,39.13,-122.12,0
United States of America,California,Colusa,College City,39.01,-122.01,11
United States of America,California,Colusa,Colusa,39.21,-122.01,17
United States of America,California,Colusa,East Colusa,39.18,-121.98,0
United States of America,California,Colusa,Grimes,39.07,-121.9,12
United States of America,California,Colusa,Lodoga,39.3,-122.51,367
United States of America,California,Colusa,Maxwell,39.28,-122.19,26
United States of America,California,Colusa,Princeton,39.4,-122.02,24
United States of America,California,Colusa,Stonyford,39.37,-122.54,346
United States of America,California,Colusa,West Colusa,39.21,-122.43,0
United States of America,California,Colusa,Williams,39.15,-122.15,26
United States of America,California,Calaveras,Angels,38.07,-120.55,529
United States of America,California,Calaveras,Angels City,38.07,-120.55,485
United States of America,California,Calaveras,Angels City,38.03,-120.61,0
United States of America,California,Calaveras,Arnold,38.25,-120.35,1295
United States of America,California,Calaveras,Arnold-West Point,38.37,-120.35,0
United States of America,California,Calaveras,Avery,38.2,-120.37,1023
United States of America,California,Calaveras,Copperopolis,37.94,-120.63,212
United States of America,California,Calaveras,Dorrington,38.3,-120.27,1487
United States of America,California,Calaveras,Forest Meadows,38.17,-120.4,1056
United States of America,California,Calaveras,Mokelumne Hill,38.3,-120.71,449
United States of America,California,Calaveras,Mountain Ranch,38.26,-120.51,731
