Year,Period,Area,Adjusted,Preliminary,Labor Force,Employment,Unemployment,Unemployment Rate
2019,Annual,California,Not Adj,Prelim,19411600,18627400,784200,0.040
2018,Annual,California,Not Adj,Not Prelim,19280800,18460700,820100,0.043
2017,Annual,California,Not Adj,Not Prelim,19176400,18257100,919300,0.048
2016,Annual,California,Not Adj,Not Prelim,19021200,17980100,1041100,0.055
2015,Annual,California,Not Adj,Not Prelim,18828800,17660700,1168100,0.062
2014,Annual,California,Not Adj,Not Prelim,18714700,17310900,1403800,0.075
2013,Annual,California,Not Adj,Not Prelim,18625000,16958400,1666600,0.089
2012,Annual,California,Not Adj,Not Prelim,18523800,16602700,1921100,0.104
2011,Annual,California,Not Adj,Not Prelim,18415100,16258100,2157000,0.117
2010,Annual,California,Not Adj,Not Prelim,18336300,16091900,2244300,0.122
2009,Annual,California,Not Adj,Not Prelim,18215100,16182600,2032600,0.112
2008,Annual,California,Not Adj,Not Prelim,18178100,16854500,1323600,0.073
2007,Annual,California,Not Adj,Not Prelim,17893100,16931600,961500,0.054
2006,Annual,California,Not Adj,Not Prelim,17654100,16789400,864700,0.049
2005,Annual,California,Not Adj,Not Prelim,17530100,16582700,947400,0.054
2004,Annual,California,Not Adj,Not Prelim,17383600,16304000,1079600,0.062
2003,Annual,California,Not Adj,Not Prelim,17277600,16102800,1174800,0.068
2002,Annual,California,Not Adj,Not Prelim,17257100,16108700,1148400,0.067
2001,Annual,California,Not Adj,Not Prelim,17128400,16197700,930800,0.054
2000,Annual,California,Not Adj,Not Prelim,16867800,16033200,834600,0.049
1999,Annual,California,Not Adj,Not Prelim,16416600,15555300,861300,0.052
1998,Annual,California,Not Adj,Not Prelim,16144600,15184500,960100,0.059
1997,Annual,California,Not Adj,Not Prelim,15790100,14784600,1005400,0.064
1996,Annual,California,Not Adj,Not Prelim,15422600,14300400,1122200,0.073
1995,Annual,California,Not Adj,Not Prelim,15246000,14048200,1197800,0.079
1994,Annual,California,Not Adj,Not Prelim,15256500,13944700,1311800,0.086
1993,Annual,California,Not Adj,Not Prelim,15261200,13817000,1444200,0.095
1992,Annual,California,Not Adj,Not Prelim,15305000,13880900,1424100,0.093
1991,Annual,California,Not Adj,Not Prelim,15126500,13960000,1166500,0.077
1990,Annual,California,Not Adj,Not Prelim,15138400,14264200,874300,0.058
2019,Annual,Alameda County,Not Adj,Prelim,844400,819700,24700,0.029
2018,Annual,Alameda County,Not Adj,Not Prelim,842400,816600,25800,0.031
2017,Annual,Alameda County,Not Adj,Not Prelim,839200,808400,30800,0.037
2016,Annual,Alameda County,Not Adj,Not Prelim,831700,796000,35700,0.043
2015,Annual,Alameda County,Not Adj,Not Prelim,818900,780100,38800,0.047
2014,Annual,Alameda County,Not Adj,Not Prelim,808100,761100,47000,0.058
2013,Annual,Alameda County,Not Adj,Not Prelim,802800,744800,58000,0.072
2012,Annual,Alameda County,Not Adj,Not Prelim,798400,729000,69400,0.087
2011,Annual,Alameda County,Not Adj,Not Prelim,786800,707400,79400,0.101
2010,Annual,Alameda County,Not Adj,Not Prelim,782500,697100,85400,0.109
2009,Annual,Alameda County,Not Adj,Not Prelim,760900,682900,78000,0.103
2008,Annual,Alameda County,Not Adj,Not Prelim,756400,709400,47000,0.062
2007,Annual,Alameda County,Not Adj,Not Prelim,745200,710100,35100,0.047
2006,Annual,Alameda County,Not Adj,Not Prelim,733800,701300,32600,0.044
2005,Annual,Alameda County,Not Adj,Not Prelim,734300,696800,37500,0.051
2004,Annual,Alameda County,Not Adj,Not Prelim,741600,698200,43400,0.059
2003,Annual,Alameda County,Not Adj,Not Prelim,754400,703000,51400,0.068
2002,Annual,Alameda County,Not Adj,Not Prelim,771400,720100,51300,0.067
2001,Annual,Alameda County,Not Adj,Not Prelim,777700,740600,37200,0.048
2000,Annual,Alameda County,Not Adj,Not Prelim,769700,741900,27800,0.036
1999,Annual,Alameda County,Not Adj,Not Prelim,714100,689200,24900,0.035
1998,Annual,Alameda County,Not Adj,Not Prelim,703100,674000,29100,0.041
1997,Annual,Alameda County,Not Adj,Not Prelim,693300,662400,30900,0.045
1996,Annual,Alameda County,Not Adj,Not Prelim,678300,644100,34300,0.051
1995,Annual,Alameda County,Not Adj,Not Prelim,676200,637500,38700,0.057
1994,Annual,Alameda County,Not Adj,Not Prelim,679900,638200,41600,0.061
1993,Annual,Alameda County,Not Adj,Not Prelim,678100,633000,45100,0.066
1992,Annual,Alameda County,Not Adj,Not Prelim,677400,633100,44300,0.065
1991,Annual,Alameda County,Not Adj,Not Prelim,671800,635500,36300,0.054
1990,Annual,Alameda County,Not Adj,Not Prelim,677400,649900,27500,0.041
2019,Annual,Alpine County,Not Adj,Prelim,550,520,30,0.051
2018,Annual,Alpine County,Not Adj,Not Prelim,550,520,30,0.046
2017,Annual,Alpine County,Not Adj,Not Prelim,550,520,30,0.060
2016,Annual,Alpine County,Not Adj,Not Prelim,550,520,40,0.063
2015,Annual,Alpine County,Not Adj,Not Prelim,550,510,40,0.073
2014,Annual,Alpine County,Not Adj,Not Prelim,510,470,40,0.082
2013,Annual,Alpine County,Not Adj,Not Prelim,530,470,50,0.097
2012,Annual,Alpine County,Not Adj,Not Prelim,550,480,60,0.112
2011,Annual,Alpine County,Not Adj,Not Prelim,590,520,80,0.128
2010,Annual,Alpine County,Not Adj,Not Prelim,540,470,70,0.129
