company,written_premium_(b),market_share,earned_premium_(b),incurred_loss_(b),loss_ratio,year
Company, Written Premium (b) ,Market Share, Earned Premium (b) , Incurred Loss (b) ,Loss Ratio,Year
Acceptance Ind Ins Co - 20010, 150 ,0.0000%, 157 , (196),-124.84%,2019
Ace Amer Ins Co - 22667," 257,039 ",0.0238%," 211,368 "," (7,113)",-3.37%,2019
Admiral Ind Co - 44318, 6 ,0.0000%, 2 , -   ,0.00%,2019
Aegis Security Ins Co - 33898," 585,397 ",0.0541%," 623,686 "," 111,352 ",17.85%,2019
Affiliated Fm Ins Co - 10014," 35,875,928 ",3.3180%," 34,767,071 "," 16,673,408 ",47.96%,2019
Allianz Global Risks US Ins Co - 35300," 47,772,344 ",4.4183%," 35,708,966 "," 54,045,259 ",151.35%,2019
Allied Prop & Cas Ins Co - 42579," 8,818,239 ",0.8156%," 9,125,933 "," (2,363,116)",-25.89%,2019
Allied World Assur Co US Inc - 19489," 443,321 ",0.0410%," 350,534 "," (125,026)",-35.67%,2019
Allstate Ins Co - 19232," 5,925 ",0.0005%," 6,202 "," (58,384)",-941.37%,2019
Amco Ins Co - 19100," 29,493,721 ",2.7278%," 30,620,459 "," (1,339,190)",-4.37%,2019
American Alt Ins Corp - 19720," 133,019 ",0.0123%," 275,371 "," 121,711 ",44.20%,2019
American Cas Co Of Reading PA - 20427," 104,856 ",0.0097%," 88,563 "," (62,705)",-70.80%,2019
American Economy Ins Co - 19690," 4,917 ",0.0005%," 6,396 ", (309),-4.83%,2019
American Family Home Ins Co - 23450," 3,082 ",0.0003%," 3,242 "," 5,360 ",165.33%,2019
American Fire & Cas Co - 24066," 18,165 ",0.0017%," 34,119 ", (555),-1.63%,2019
American Guar & Liab Ins - 26247," 12,236,685 ",1.1317%," 12,563,325 "," 17,469,935 ",139.06%,2019
American Home Assur Co - 19380," 21,104,782 ",1.9519%," 29,409,610 "," 6,131,836 ",20.85%,2019
American Modern Home Ins Co - 23469," 7,697,680 ",0.7119%," 13,325,365 "," 775,131 ",5.82%,2019
American Modern Prop & Cas Ins Co - 42722," 10,987,675 ",1.0162%," 4,398,294 "," 2,654,076 ",60.34%,2019
American Natl Prop & Cas Co - 28401," 183,358 ",0.0170%," 102,604 "," 124,856 ",121.69%,2019
American Security Ins Co - 42978," 28,363,907 ",2.6233%," 27,499,878 "," 8,304,828 ",30.20%,2019
American Southern Home Ins Co - 41998, 237 ,0.0000%, 183 ," 1,765 ",964.48%,2019
American States Ins Co - 19704," 11,344 ",0.0010%," 10,100 "," 67,543 ",668.74%,2019
American Zurich Ins Co - 40142," 103,777 ",0.0096%," 81,517 "," 3,261 ",4.00%,2019
Amerisure Mut Ins Co - 23396," 6,739 ",0.0006%," 7,213 ", (182),-2.52%,2019
Amguard Ins Co - 42390," 62,909 ",0.0058%," 7,309 ", 190 ,2.60%,2019
Amica Mut Ins Co - 19976," 1,104,785 ",0.1022%," 964,603 "," 857,434 ",88.89%,2019
Arch Ins Co - 11150," 97,934 ",0.0091%," 103,283 "," (115,834)",-112.15%,2019
Armed Forces Ins Exch - 41459," 301,169 ",0.0279%," 301,498 "," 17,557 ",5.82%,2019
ASI Select Ins Corp - 14042," 1,133,762 ",0.1049%," 1,078,565 "," 473,349 ",43.89%,2019
Aspen Amer Ins Co - 43460," 1,437,926 ",0.1330%," 1,632,798 "," 993,950 ",60.87%,2019
Atlantic Specialty Ins Co - 27154," 566,000 ",0.0523%," 494,316 "," 18,950 ",3.83%,2019
AXA Ins Co - 33022," 3,220,352 ",0.2978%," 3,076,949 "," 100,174 ",3.26%,2019
Axis Ins Co - 37273," 535,914 ",0.0496%," 609,239 "," 385,296 ",63.24%,2019
