ID Value Bucket,Value Bucket,ID Year,Year,Property Value by Bucket,Property Value by Bucket Moe,Geography,ID Geography,Slug Geography,share
16,"$175,000 to $199,999",2018,"2018",110506,5674,"California","04000US06","california",0.015421599449820701
25,"$2,000,000 or More",2018,"2018",343082,7953,"California","04000US06","california",0.047878605527694296
24,"$1,500,000 to $1,999,999",2018,"2018",260830,7861,"California","04000US06","california",0.03639997633157234
1,"$10,000 to $14,999",2018,"2018",561871,12432,"United States","01000US","united-states",0.007230505883315514
2,"$15,000 to $19,999",2018,"2018",480004,10818,"United States","01000US","united-states",0.006176990351904583
23,"$1,000,000 to $1,499,999",2018,"2018",636837,11424,"California","04000US06","california",0.08887341075439764
3,"$20,000 to $24,999",2018,"2018",519620,11799,"United States","01000US","united-states",0.006686793707253814
4,"$25,000 to $29,999",2018,"2018",465467,11618,"United States","01000US","united-states",0.0059899191842775696
22,"$750,000 to $999,999",2018,"2018",932059,12918,"California","04000US06","california",0.13007294229815966
5,"$30,000 to $34,999",2018,"2018",581079,12322,"United States","01000US","united-states",0.007477686387393362
6,"$35,000 to $39,999",2018,"2018",413843,9243,"United States","01000US","united-states",0.005325589408011701
21,"$500,000 to $749,999",2018,"2018",1735192,16908,"California","04000US06","california",0.2421536929445757
7,"$40,000 to $49,999",2018,"2018",1097775,16811,"United States","01000US","united-states",0.014126852241985595
8,"$50,000 to $59,999",2018,"2018",1363891,16708,"United States","01000US","united-states",0.01755139863011453
20,"$400,000 to $499,999",2018,"2018",931703,15455.000000000002,"California","04000US06","california",0.13002326092878483
9,"$60,000 to $69,999",2018,"2018",1543283,19444,"United States","01000US","united-states",0.019859926586566698
10,"$70,000 to $79,999",2018,"2018",1795096,20917,"United States","01000US","united-states",0.023100413064771355
19,"$300,000 to $399,999",2018,"2018",908027,14919,"California","04000US06","california",0.12671917075654118
11,"$80,000 to $89,999",2018,"2018",2136763,20941,"United States","01000US","united-states",0.02749719676358258
12,"$90,000 to $99,999",2018,"2018",1782319,21094,"United States","01000US","united-states",0.022935990673028192
18,"$250,000 to $299,999",2018,"2018",381524,9554,"California","04000US06","california",0.053243356093726976
13,"$100,000 to $124,999",2018,"2018",4894443,39097,"United States","01000US","united-states",0.06298474010413856
14,"$125,000 to $149,999",2018,"2018",4682490,32225.000000000004,"United States","01000US","united-states",0.06025719692521248
17,"$200,000 to $249,999",2018,"2018",314960,9396,"California","04000US06","california",0.043954056455898574
15,"$150,000 to $174,999",2018,"2018",6024955,40157,"United States","01000US","united-states",0.07753287244618644
16,"$175,000 to $199,999",2018,"2018",4524274,36958,"United States","01000US","united-states",0.05822117492223556
0,"Less Than $10,000",2018,"2018",1018091,13541.999999999998,"United States","01000US","united-states",0.013101428913844236
17,"$200,000 to $249,999",2018,"2018",8364113,47771,"United States","01000US","united-states",0.1076346140932986
18,"$250,000 to $299,999",2018,"2018",7132031,41787,"United States","01000US","united-states",0.0917794157475446
15,"$150,000 to $174,999",2018,"2018",122085,5003,"California","04000US06","california",0.017037499944178237
19,"$300,000 to $399,999",2018,"2018",9977191,54872.99999999999,"United States","01000US","united-states",0.12839270619850926
20,"$400,000 to $499,999",2018,"2018",5875445,32402,"United States","01000US","united-states",0.07560888467209861
14,"$125,000 to $149,999",2018,"2018",64670,4078.0000000000005,"California","04000US06","california",0.009024983588401578
21,"$500,000 to $749,999",2018,"2018",6809450,32748,"United States","01000US","united-states",0.08762824258084655
22,"$750,000 to $999,999",2018,"2018",2754017,21683,"United States","01000US","united-states",0.035440405575747715
13,"$100,000 to $124,999",2018,"2018",90689,4985,"California","04000US06","california",0.012656049739424009
23,"$1,000,000 to $1,499,999",2018,"2018",1564209,19228,"United States","01000US","united-states",0.020129215384376623
24,"$1,500,000 to $1,999,999",2018,"2018",570499,9814,"United States","01000US","united-states",0.007341536359637029
12,"$90,000 to $99,999",2018,"2018",27664,2424,"California","04000US06","california",0.003860633152768536
25,"$2,000,000 or More",2018,"2018",776175,11874,"United States","01000US","united-states",0.009988303194118257
0,"Less Than $10,000",2018,"2018",63807,3267,"California","04000US06","california",0.008904548133990095
11,"$80,000 to $89,999",2018,"2018",30775,2470,"California","04000US06","california",0.004294786917164969
1,"$10,000 to $14,999",2018,"2018",18499,2332,"California","04000US06","california",0.0025816170001830953
2,"$15,000 to $19,999",2018,"2018",14577,1662,"California","04000US06","california",0.0020342846106097077
10,"$70,000 to $79,999",2018,"2018",25419,2170,"California","04000US06","california",0.0035473335060086544
3,"$20,000 to $24,999",2018,"2018",19256,2048,"California","04000US06","california",0.0026872596873088106
4,"$25,000 to $29,999",2018,"2018",14177,2108,"California","04000US06","california",0.00197846284726719
